PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalTechnologyAnnualActivityLowerLimit,NDP,HON,Techs_Auto,,,,2018,,,,,,2.4408
TotalTechnologyAnnualActivityLowerLimit,NDP,HON,Techs_Auto,,,,2019,,,,,,2.5181
TotalTechnologyAnnualActivityLowerLimit,NDP,HON,Techs_Auto,,,,2020,,,,,,1.9033
TotalTechnologyAnnualActivityLowerLimit,NDP,HON,Techs_Auto,,,,2021,,,,,,2.253
TotalTechnologyAnnualActivityLowerLimit,NDP,HON,Techs_Auto,,,,2022,,,,,,2.3947
TotalTechnologyAnnualActivityLowerLimit,NDP,HON,Techs_Auto,,,,2023,,,,,,2.4473
TotalTechnologyAnnualActivityLowerLimit,NDP,HON,Techs_Auto,,,,2024,,,,,,2.5001
TotalTechnologyAnnualActivityLowerLimit,NDP,HON,Techs_Auto,,,,2025,,,,,,2.5533
TotalTechnologyAnnualActivityLowerLimit,NDP,HON,Techs_Auto,,,,2026,,,,,,2.6067
TotalTechnologyAnnualActivityLowerLimit,NDP,HON,Techs_Auto,,,,2027,,,,,,2.6602
TotalTechnologyAnnualActivityLowerLimit,NDP,HON,Techs_Auto,,,,2028,,,,,,2.7137
TotalTechnologyAnnualActivityLowerLimit,NDP,HON,Techs_Auto,,,,2029,,,,,,2.7672
TotalTechnologyAnnualActivityLowerLimit,NDP,HON,Techs_Auto,,,,2030,,,,,,2.8205
TotalTechnologyAnnualActivityLowerLimit,NDP,HON,Techs_Auto,,,,2031,,,,,,2.8736
TotalTechnologyAnnualActivityLowerLimit,NDP,HON,Techs_Auto,,,,2032,,,,,,2.9264
TotalTechnologyAnnualActivityLowerLimit,NDP,HON,Techs_Auto,,,,2033,,,,,,2.9789
TotalTechnologyAnnualActivityLowerLimit,NDP,HON,Techs_Auto,,,,2034,,,,,,3.0309
TotalTechnologyAnnualActivityLowerLimit,NDP,HON,Techs_Auto,,,,2035,,,,,,3.0826
TotalTechnologyAnnualActivityLowerLimit,NDP,HON,Techs_Auto,,,,2036,,,,,,3.1337
TotalTechnologyAnnualActivityLowerLimit,NDP,HON,Techs_Auto,,,,2037,,,,,,3.1843
TotalTechnologyAnnualActivityLowerLimit,NDP,HON,Techs_Auto,,,,2038,,,,,,3.2343
TotalTechnologyAnnualActivityLowerLimit,NDP,HON,Techs_Auto,,,,2039,,,,,,3.2837
TotalTechnologyAnnualActivityLowerLimit,NDP,HON,Techs_Auto,,,,2040,,,,,,3.3323
TotalTechnologyAnnualActivityLowerLimit,NDP,HON,Techs_Auto,,,,2041,,,,,,3.3802
TotalTechnologyAnnualActivityLowerLimit,NDP,HON,Techs_Auto,,,,2042,,,,,,3.4273
TotalTechnologyAnnualActivityLowerLimit,NDP,HON,Techs_Auto,,,,2043,,,,,,3.4735
TotalTechnologyAnnualActivityLowerLimit,NDP,HON,Techs_Auto,,,,2044,,,,,,3.5188
TotalTechnologyAnnualActivityLowerLimit,NDP,HON,Techs_Auto,,,,2045,,,,,,3.5631
TotalTechnologyAnnualActivityLowerLimit,NDP,HON,Techs_Auto,,,,2046,,,,,,3.6063
TotalTechnologyAnnualActivityLowerLimit,NDP,HON,Techs_Auto,,,,2047,,,,,,3.6485
TotalTechnologyAnnualActivityLowerLimit,NDP,HON,Techs_Auto,,,,2048,,,,,,3.6896
TotalTechnologyAnnualActivityLowerLimit,NDP,HON,Techs_Auto,,,,2049,,,,,,3.7295
TotalTechnologyAnnualActivityLowerLimit,NDP,HON,Techs_Auto,,,,2050,,,,,,3.7681
TotalTechnologyAnnualActivityLowerLimit,NDP,HON,Techs_Taxi,,,,2018,,,,,,1.3138
TotalTechnologyAnnualActivityLowerLimit,NDP,HON,Techs_Taxi,,,,2019,,,,,,1.3555
TotalTechnologyAnnualActivityLowerLimit,NDP,HON,Techs_Taxi,,,,2020,,,,,,1.0246
TotalTechnologyAnnualActivityLowerLimit,NDP,HON,Techs_Taxi,,,,2021,,,,,,1.2128
