PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
SpecifiedAnnualDemand,NDPAMB,HON,,E5EXPLPG,,,2018,,,,,,11.8133
SpecifiedAnnualDemand,NDPAMB,HON,,E5EXPLPG,,,2019,,,,,,10.9783
SpecifiedAnnualDemand,NDPAMB,HON,,E5EXPLPG,,,2020,,,,,,9.7853
SpecifiedAnnualDemand,NDPAMB,HON,,E5EXPLPG,,,2021,,,,,,9.7085
SpecifiedAnnualDemand,NDPAMB,HON,,E5EXPLPG,,,2022,,,,,,10.0983
SpecifiedAnnualDemand,NDPAMB,HON,,E5EXPLPG,,,2023,,,,,,10.382
SpecifiedAnnualDemand,NDPAMB,HON,,E5EXPLPG,,,2024,,,,,,10.6776
SpecifiedAnnualDemand,NDPAMB,HON,,E5EXPLPG,,,2025,,,,,,10.975
SpecifiedAnnualDemand,NDPAMB,HON,,E5EXPLPG,,,2026,,,,,,11.2741
SpecifiedAnnualDemand,NDPAMB,HON,,E5EXPLPG,,,2027,,,,,,11.574
SpecifiedAnnualDemand,NDPAMB,HON,,E5EXPLPG,,,2028,,,,,,11.8743
SpecifiedAnnualDemand,NDPAMB,HON,,E5EXPLPG,,,2029,,,,,,12.1746
SpecifiedAnnualDemand,NDPAMB,HON,,E5EXPLPG,,,2030,,,,,,12.4745
SpecifiedAnnualDemand,NDPAMB,HON,,E5EXPLPG,,,2031,,,,,,12.7729
SpecifiedAnnualDemand,NDPAMB,HON,,E5EXPLPG,,,2032,,,,,,13.069
SpecifiedAnnualDemand,NDPAMB,HON,,E5EXPLPG,,,2033,,,,,,13.3629
SpecifiedAnnualDemand,NDPAMB,HON,,E5EXPLPG,,,2034,,,,,,13.6533
SpecifiedAnnualDemand,NDPAMB,HON,,E5EXPLPG,,,2035,,,,,,13.9407
