Strategy,Future.ID,Fuel,Technology,Emission,Year,Demand,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,TotalTechnologyAnnualActivity,ProductionByTechnology,UseByTechnology,CapitalInvestment,DiscountedCapitalInvestment,SalvageValue,DiscountedSalvageValue,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,TotalDiscountedCost,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,AnnualTechnologyEmissionsPenalty,DiscountedTechnologyEmissionsPenalty,AnnualEmissions,DistanceDriven,Fleet,NewFleet,ProducedMobility,FilterFuelType,FilterVehicleType,Capex2021,FixedOpex2021,VarOpex2021,Opex2021,Externalities2021,Capex_GDP,FixedOpex_GDP,VarOpex_GDP,Opex_GDP,Externalities_GDP
NDPAMB,0,,DIST_DSL,,2018,,38.9541,38.9541,38.9541,38.9541,,,,,,,595.359,581.011,595.359,,581.011,,,,,,,,,,,,,,,797.838,797.838,,,,0.008754764425622022,0.008754764425622022,
NDPAMB,0,,DIST_DSL,,2019,,41.0465,41.0465,41.0465,41.0465,,,,,,,568.646,528.516,568.646,,528.516,,,,,,,,,,,,,,,725.7524,725.7524,,,,0.008050598861737973,0.008050598861737973,
NDPAMB,0,,DIST_DSL,,2020,,34.2458,34.2458,34.2458,34.2458,,,,,,,326.941,289.399,326.941,,289.399,,,,,,,,,,,,,,,397.3988,397.3988,,,,0.00470006181624761,0.00470006181624761,
NDPAMB,0,,DIST_DSL,,2021,,36.7169,36.7169,36.7169,36.7169,,,,,,,528.702,445.706,528.702,,445.706,,,,,,,,,,,,,,,612.0387,612.0387,,,,0.0073435285347507534,0.0073435285347507534,
NDPAMB,0,,DIST_DSL,,2022,,36.9261,36.9261,36.9261,36.9261,,,,,,,941.582,755.973,941.582,,755.973,,,,,,,,,,,,,,,1038.0942,1038.0942,,,,0.012636058599968353,0.012636058599968353,
NDPAMB,0,,DIST_DSL,,2023,,37.744,37.744,37.744,37.744,,,,,,,980.725,749.905,980.725,,749.905,,,,,,,,,,,,,,,1029.7613,1029.7613,,,,0.012716288725237869,0.012716288725237869,
NDPAMB,0,,DIST_DSL,,2024,,38.5676,38.5676,38.5676,38.5676,,,,,,,1021.17,743.646,1021.17,,743.646,,,,,,,,,,,,,,,1021.17,1021.17,,,,0.01279295380542188,0.01279295380542188,
NDPAMB,0,,DIST_DSL,,2025,,38.8581,38.8581,38.8581,38.8581,,,,,,,1048.41,727.127,1048.41,,727.127,,,,,,,,,,,,,,,998.4857,998.4857,,,,0.01269005747281013,0.01269005747281013,
NDPAMB,0,,DIST_DSL,,2026,,38.8804,38.8804,38.8804,38.8804,,,,,,,1068.94,706.064,1068.94,,706.064,,,,,,,,,,,,,,,969.5601,969.5601,,,,0.012501018943464434,0.012501018943464434,
NDPAMB,0,,DIST_DSL,,2027,,38.9266,38.9266,38.9266,38.9266,,,,,,,1090.54,686.033,1090.54,,686.033,,,,,,,,,,,,,,,942.0495,942.0495,,,,0.012322344162161734,0.012322344162161734,
NDPAMB,0,,DIST_DSL,,2028,,39.0098,39.0098,39.0098,39.0098,,,,,,,1113.64,667.202,1113.64,,667.202,,,,,,,,,,,,,,,916.1944,916.1944,,,,0.012157833922236102,0.012157833922236102,
NDPAMB,0,,DIST_DSL,,2029,,39.1456,39.1456,39.1456,39.1456,,,,,,,1138.75,649.758,1138.75,,649.758,,,,,,,,,,,,,,,892.2404,892.2404,,,,0.012011560279192696,0.012011560279192696,
NDPAMB,0,,DIST_DSL,,2030,,39.3541,39.3541,39.3541,39.3541,,,,,,,1166.57,633.933,1166.57,,633.933,,,,,,,,,,,,,,,870.5125,870.5125,,,,0.011888894934078131,0.011888894934078131,
NDPAMB,0,,DIST_DSL,,2031,,39.3569,39.3569,39.3569,39.3569,,,,,,,1188.81,615.26,1188.81,,615.26,,,,,,,,,,,,,,,844.8651,844.8651,,,,0.011705845429744654,0.011705845429744654,
NDPAMB,0,,DIST_DSL,,2032,,39.1257,39.1257,39.1257,39.1257,,,,,,,1204.29,593.587,1204.29,,593.587,,,,,,,,,,,,,,,815.1109,815.1109,,,,0.01145726784112671,0.01145726784112671,
NDPAMB,0,,DIST_DSL,,2033,,38.4618,38.4618,38.4618,38.4618,,,,,,,1206.34,566.288,1206.34,,566.288,,,,,,,,,,,,,,,777.6175,777.6175,,,,0.011088667584612705,0.011088667584612705,
NDPAMB,0,,DIST_DSL,,2034,,38.2595,38.2595,38.2595,38.2595,,,,,,,1222.8,546.677,1222.8,,546.677,,,,,,,,,,,,,,,750.6931,750.6931,,,,0.010859872243790569,0.010859872243790569,
NDPAMB,0,,DIST_DSL,,2035,,38.1468,38.1468,38.1468,38.1468,,,,,,,1242.36,528.975,1242.36,,528.975,,,,,,,,,,,,,,,726.3822,726.3822,,,,0.010660471082283357,0.010660471082283357,
NDPAMB,0,,DIST_DSL,,2036,,37.9612,37.9612,37.9612,37.9612,,,,,,,1259.81,510.86,1259.81,,510.86,,,,,,,,,,,,,,,701.5093,701.5093,,,,0.010444643904449423,0.010444643904449423,
NDPAMB,0,,DIST_DSL,,2037,,37.3579,37.3579,37.3579,37.3579,,,,,,,1263.34,487.897,1263.34,,487.897,,,,,,,,,,,,,,,669.9762,669.9762,,,,0.01011971970947627,0.01011971970947627,
NDPAMB,0,,DIST_DSL,,2038,,36.0966,36.0966,36.0966,36.0966,,,,,,,1243.88,457.506,1243.88,,457.506,,,,,,,,,,,,,,,628.2439,628.2439,,,,0.009626898035736223,0.009626898035736223,
NDPAMB,0,,DIST_DSL,,2039,,34.2946,34.2946,34.2946,34.2946,,,,,,,1204.24,421.834,1204.24,,421.834,,,,,,,,,,,,,,,579.26,579.26,,,,0.009004935072689794,0.009004935072689794,
NDPAMB,0,,DIST_DSL,,2040,,31.9595,31.9595,31.9595,31.9595,,,,,,,1143.56,381.505,1143.56,,381.505,,,,,,,,,,,,,,,523.878,523.878,,,,0.008262018125108628,0.008262018125108628,
NDPAMB,0,,DIST_DSL,,2041,,29.251,29.251,29.251,29.251,,,,,,,1066.53,338.865,1066.53,,338.865,,,,,,,,,,,,,,,465.3235,465.3235,,,,0.007444917913744489,0.007444917913744489,
NDPAMB,0,,DIST_DSL,,2042,,27.0577,27.0577,27.0577,27.0577,,,,,,,1005.31,304.202,1005.31,,304.202,,,,,,,,,,,,,,,417.7271,417.7271,,,,0.006780262224599766,0.006780262224599766,
NDPAMB,0,,DIST_DSL,,2043,,24.6573,24.6573,24.6573,24.6573,,,,,,,933.53,269.03,933.53,,269.03,,,,,,,,,,,,,,,369.4295,369.4295,,,,0.006083232522773273,0.006083232522773273,
NDPAMB,0,,DIST_DSL,,2044,,22.6942,22.6942,22.6942,22.6942,,,,,,,875.533,240.301,875.533,,240.301,,,,,,,,,,,,,,,329.9792,329.9792,,,,0.005512369334972173,0.005512369334972173,
NDPAMB,0,,DIST_DSL,,2045,,21.2194,21.2194,21.2194,21.2194,,,,,,,834.188,218.051,834.188,,218.051,,,,,,,,,,,,,,,299.4254,299.4254,,,,0.005074454661162913,0.005074454661162913,
