PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
CapacityToActivityUnit,NDP,HON,DIST_DSL,,,,,,,,,,1.0
CapacityToActivityUnit,NDP,HON,DIST_GSL,,,,,,,,,,1.0
CapacityToActivityUnit,NDP,HON,DIST_LPG,,,,,,,,,,1.0
CapacityToActivityUnit,NDP,HON,DIST_FOI,,,,,,,,,,1.0
CapacityToActivityUnit,NDP,HON,DIST_COK,,,,,,,,,,1.0
CapacityToActivityUnit,NDP,HON,DIST_KER,,,,,,,,,,1.0
CapacityToActivityUnit,NDP,HON,DIST_COA,,,,,,,,,,1.0
CapacityToActivityUnit,NDP,HON,DIST_URA,,,,,,,,,,1.0
CapacityToActivityUnit,NDP,HON,IMP_ELE,,,,,,,,,,31.356
CapacityToActivityUnit,NDP,HON,EXTT_CRU,,,,,,,,,,1.0
CapacityToActivityUnit,NDP,HON,EXTT_LPG,,,,,,,,,,1.0
CapacityToActivityUnit,NDP,HON,PPHDAM,,,,,,,,,,31.356
CapacityToActivityUnit,NDP,HON,PPHROR,,,,,,,,,,31.356
CapacityToActivityUnit,NDP,HON,PPGEO,,,,,,,,,,31.356
CapacityToActivityUnit,NDP,HON,PPWNDON,,,,,,,,,,31.356
CapacityToActivityUnit,NDP,HON,PPPVT,,,,,,,,,,31.356
CapacityToActivityUnit,NDP,HON,PPPVT2,,,,,,,,,,31.356
CapacityToActivityUnit,NDP,HON,PPPVTS,,,,,,,,,,31.356
CapacityToActivityUnit,NDP,HON,PPPVD,,,,,,,,,,31.356
CapacityToActivityUnit,NDP,HON,PPPVDS,,,,,,,,,,31.356
CapacityToActivityUnit,NDP,HON,PPBIM,,,,,,,,,,31.356
CapacityToActivityUnit,NDP,HON,PPBGS,,,,,,,,,,31.356
CapacityToActivityUnit,NDP,HON,PPCOA,,,,,,,,,,31.356
CapacityToActivityUnit,NDP,HON,PPCOK,,,,,,,,,,31.356
CapacityToActivityUnit,NDP,HON,PPGTDSL,,,,,,,,,,31.356
CapacityToActivityUnit,NDP,HON,PPICEDSL,,,,,,,,,,31.356
CapacityToActivityUnit,NDP,HON,PPFOI,,,,,,,,,,31.356
CapacityToActivityUnit,NDP,HON,PPGTGLP,,,,,,,,,,31.356
CapacityToActivityUnit,NDP,HON,PPNUC,,,,,,,,,,31.356
CapacityToActivityUnit,NDP,HON,DIST_FIR,,,,,,,,,,1.0
CapacityToActivityUnit,NDP,HON,DIST_BIM,,,,,,,,,,1.0
CapacityToActivityUnit,NDP,HON,DIST_BGS,,,,,,,,,,1.0
CapacityToActivityUnit,NDP,HON,DIST_NGS,,,,,,,,,,1.0
CapacityToActivityUnit,NDP,HON,PPNGS,,,,,,,,,,31.356
CapacityToActivityUnit,NDP,HON,SOIALL,,,,,,,,,,1.0
CapacityToActivityUnit,NDP,HON,STOELE,,,,,,,,,,31.356
CapacityToActivityUnit,NDP,HON,ELE_TRANS,,,,,,,,,,1.0
CapacityToActivityUnit,NDP,HON,ELE_DIST,,,,,,,,,,1.0
CapacityToActivityUnit,NDP,HON,HYD_G_PROD,,,,,,,,,,1.0
CapacityToActivityUnit,NDP,HON,HYD_DIST,,,,,,,,,,1.0
CapacityToActivityUnit,NDP,HON,LU_ABO,,,,,,,,,,1.0
CapacityToActivityUnit,NDP,HON,LU_FORCON,,,,,,,,,,1.0
CapacityToActivityUnit,NDP,HON,LU_FORLAT,,,,,,,,,,1.0
CapacityToActivityUnit,NDP,HON,LU_FORDEC,,,,,,,,,,1.0
CapacityToActivityUnit,NDP,HON,LU_FORMAN,,,,,,,,,,1.0
CapacityToActivityUnit,NDP,HON,LU_FORMIX,,,,,,,,,,1.0
